Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  10uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1688.083333,1856.750000,1857.583333,1410.416667,1572.583333,1542.750000,1906.500000,1410.083333,
B SEM,383.654585,216.544947,235.566482,230.593945,246.579739,376.991603,281.166361,336.300561,
B Replicates,1885.000000,2394.000000,2355.000000,114.000000,1908.000000,2894.000000,753.000000,1708.000000,
,721.000000,1726.000000,328.000000,1181.000000,816.000000,838.000000,1859.000000,1244.000000,
,343.000000,1512.000000,1750.000000,1127.000000,754.000000,0.000000,1835.000000,639.000000,
,576.000000,730.000000,575.000000,2934.000000,849.000000,0.000000,1861.000000,0.000000,
,745.000000,2576.000000,1957.000000,1103.000000,1322.000000,544.000000,671.000000,1543.000000,
,562.000000,359.000000,1805.000000,1540.000000,1489.000000,1553.000000,2666.000000,1004.000000,
,1045.000000,2003.000000,1590.000000,1541.000000,708.000000,1294.000000,2663.000000,861.000000,
,3701.000000,1971.000000,2899.000000,2265.000000,1966.000000,1019.000000,240.000000,0.000000,
,1905.000000,3016.000000,2358.000000,2134.000000,1766.000000,2709.000000,2515.000000,3354.000000,
,2588.000000,2269.000000,3014.000000,1500.000000,3710.000000,4500.000000,2341.000000,1349.000000,
,4504.000000,2168.000000,2232.000000,1292.000000,2278.000000,1924.000000,3660.000000,3854.000000,
,1682.000000,1557.000000,1428.000000,194.000000,1305.000000,1238.000000,1814.000000,1365.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.516840,3.868229,3.869965,2.938368,3.276215,3.214063,3.971875,2.937674,
B SEM,0.799280,0.451135,0.490764,0.480404,0.513708,0.785399,0.585763,0.700626,
B Replicates,3.927083,4.987500,4.906250,0.237500,3.975000,6.029167,1.568750,3.558333,
,1.502083,3.595833,0.683333,2.460417,1.700000,1.745833,3.872917,2.591667,
,0.714583,3.150000,3.645833,2.347917,1.570833,0.000000,3.822917,1.331250,
,1.200000,1.520833,1.197917,6.112500,1.768750,0.000000,3.877083,0.000000,
,1.552083,5.366667,4.077083,2.297917,2.754167,1.133333,1.397917,3.214583,
,1.170833,0.747917,3.760417,3.208333,3.102083,3.235417,5.554167,2.091667,
,2.177083,4.172917,3.312500,3.210417,1.475000,2.695833,5.547917,1.793750,
,7.710417,4.106250,6.039583,4.718750,4.095833,2.122917,0.500000,0.000000,
,3.968750,6.283333,4.912500,4.445833,3.679167,5.643750,5.239583,6.987500,
,5.391667,4.727083,6.279167,3.125000,7.729167,9.375000,4.877083,2.810417,
,9.383333,4.516667,4.650000,2.691667,4.745833,4.008333,7.625000,8.029167,
,3.504167,3.243750,2.975000,0.404167,2.718750,2.579167,3.779167,2.843750,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.548290,8.412500,8.482036,6.013528,8.893499,8.099628,6.260938,6.574355,
B SEM,0.910755,0.993329,0.992462,0.671769,0.760373,0.701848,0.742042,0.803900,
B Replicates,5.832857,10.123448,6.626867,2.646970,10.064924,8.150717,2.360375,6.274241,
,3.703065,13.133713,1.977937,4.483522,8.397587,7.594492,10.354653,5.966255,
,1.486511,4.111911,5.193942,4.477197,6.148446,NaN,7.368135,5.638513,
,2.739450,3.337468,7.597936,6.327905,5.978507,NaN,8.204605,NaN,
,2.222418,9.801459,8.534390,10.104620,6.833859,6.840890,4.230866,9.750408,
,2.868007,2.429832,13.304547,5.461961,10.645553,11.452210,7.258574,3.289279,
,5.839763,9.692995,8.887583,7.807061,6.505947,7.792530,7.845446,2.589733,
,8.458983,9.982974,7.601626,6.037287,13.272931,10.052500,1.820604,NaN,
,11.484618,8.113559,14.575167,7.719932,12.134727,9.170650,6.359333,6.717591,
,9.824943,12.557712,11.739199,6.616380,12.034851,9.721924,8.725482,10.924507,
,6.676896,8.018782,7.838822,8.297783,8.174406,6.797005,5.769524,7.501066,
,5.441969,9.646151,7.906413,2.181718,6.530255,3.423365,4.833655,7.091959,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.583333,8.000000,7.500000,8.000000,6.583333,7.750000,6.666667,
B SEM,0.000000,0.336162,0.000000,0.417424,0.000000,0.891529,0.250000,0.898933,
B Replicates,8.000000,8.000000,8.000000,3.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,0.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,0.000000,8.000000,0.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,0.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.516840,3.968056,3.869965,2.971602,3.276215,3.881815,4.049479,3.525208,
B SEM,0.799280,0.410039,0.490764,0.464143,0.513708,0.786235,0.561456,0.699873,
B Replicates,3.927083,4.987500,4.906250,0.583333,3.975000,6.029167,2.500000,3.558333,
,1.502083,3.595833,0.683333,2.460417,1.700000,1.995238,3.872917,2.591667,
,0.714583,3.600000,3.645833,2.347917,1.570833,NaN,3.822917,1.331250,
,1.200000,1.520833,1.197917,6.112500,1.768750,NaN,3.877083,NaN,
,1.552083,5.366667,4.077083,2.297917,2.754167,1.133333,1.397917,3.214583,
,1.170833,1.495833,3.760417,3.208333,3.102083,3.235417,5.554167,2.091667,
,2.177083,4.172917,3.312500,3.210417,1.475000,2.695833,5.547917,1.793750,
,7.710417,4.106250,6.039583,4.718750,4.095833,2.122917,0.500000,NaN,
,3.968750,6.283333,4.912500,4.445833,3.679167,5.643750,5.239583,6.987500,
,5.391667,4.727083,6.279167,3.125000,7.729167,9.375000,4.877083,2.810417,
,9.383333,4.516667,4.650000,2.691667,4.745833,4.008333,7.625000,8.029167,
,3.504167,3.243750,2.975000,0.457143,2.718750,2.579167,3.779167,2.843750,


    Number of Bursts
