Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  15uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1902.250000,2135.833333,2022.083333,1470.000000,1828.916667,1590.916667,1750.250000,1851.250000,
B SEM,311.522584,215.180679,270.466837,227.913926,287.672279,289.088050,339.290126,363.043096,
B Replicates,1529.000000,3094.000000,2453.000000,32.000000,2324.000000,2426.000000,562.000000,3824.000000,
,743.000000,1805.000000,1045.000000,1456.000000,526.000000,894.000000,63.000000,717.000000,
,1254.000000,2157.000000,2040.000000,905.000000,1259.000000,197.000000,2088.000000,925.000000,
,1304.000000,1525.000000,756.000000,2719.000000,1293.000000,197.000000,3501.000000,435.000000,
,1011.000000,3103.000000,3317.000000,1930.000000,1086.000000,765.000000,980.000000,2226.000000,
,1270.000000,610.000000,1152.000000,1597.000000,1167.000000,1255.000000,932.000000,1403.000000,
,1727.000000,1838.000000,906.000000,1587.000000,1968.000000,2291.000000,2559.000000,1713.000000,
,3783.000000,2207.000000,2500.000000,2368.000000,1718.000000,1075.000000,1164.000000,1015.000000,
,2000.000000,3093.000000,2200.000000,2086.000000,2257.000000,2879.000000,1557.000000,4113.000000,
,3591.000000,2142.000000,2889.000000,1546.000000,3901.000000,3081.000000,3209.000000,1757.000000,
,3447.000000,2483.000000,3441.000000,1102.000000,3355.000000,1723.000000,3406.000000,3288.000000,
,1168.000000,1573.000000,1566.000000,312.000000,1093.000000,2308.000000,982.000000,799.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.963021,4.449653,4.212674,3.062500,3.810243,3.314410,3.646354,3.856771,
B SEM,0.649005,0.448293,0.563473,0.474821,0.599317,0.602267,0.706854,0.756340,
B Replicates,3.185417,6.445833,5.110417,0.066667,4.841667,5.054167,1.170833,7.966667,
,1.547917,3.760417,2.177083,3.033333,1.095833,1.862500,0.131250,1.493750,
,2.612500,4.493750,4.250000,1.885417,2.622917,0.410417,4.350000,1.927083,
,2.716667,3.177083,1.575000,5.664583,2.693750,0.410417,7.293750,0.906250,
,2.106250,6.464583,6.910417,4.020833,2.262500,1.593750,2.041667,4.637500,
,2.645833,1.270833,2.400000,3.327083,2.431250,2.614583,1.941667,2.922917,
,3.597917,3.829167,1.887500,3.306250,4.100000,4.772917,5.331250,3.568750,
,7.881250,4.597917,5.208333,4.933333,3.579167,2.239583,2.425000,2.114583,
,4.166667,6.443750,4.583333,4.345833,4.702083,5.997917,3.243750,8.568750,
,7.481250,4.462500,6.018750,3.220833,8.127083,6.418750,6.685417,3.660417,
,7.181250,5.172917,7.168750,2.295833,6.989583,3.589583,7.095833,6.850000,
,2.433333,3.277083,3.262500,0.650000,2.277083,4.808333,2.045833,1.664583,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.603495,9.430909,7.230861,5.178544,7.459407,6.451039,6.056948,7.374791,
B SEM,0.919017,0.508526,0.877351,0.375215,0.764017,0.931642,0.752722,0.824262,
B Replicates,4.968423,8.212934,6.160386,2.893075,5.744600,10.141992,2.574512,4.659527,
,3.414627,12.867431,7.636585,4.358041,3.571163,6.085607,0.874729,6.090876,
,10.803025,10.975972,5.320703,4.593402,5.650729,1.379185,7.859838,9.103040,
,6.838896,8.566492,5.059013,5.577758,5.829187,1.405061,8.121330,1.682042,
,2.715380,8.596290,8.328682,5.265660,7.106298,5.016643,7.056738,8.864415,
,9.976880,11.072982,3.685461,5.490659,10.704101,11.117378,6.164370,11.399556,
,11.936027,10.613066,3.665726,5.665648,6.099974,7.724725,6.714056,9.362937,
,10.295352,9.004320,6.515830,6.783657,12.340617,6.549762,11.038897,4.708210,
,11.501812,7.306341,14.595298,5.787712,8.927596,8.758834,5.842481,6.643787,
,6.445780,10.519253,10.394990,6.156140,10.914964,9.847133,6.288493,11.276917,
,6.184775,6.953722,8.050008,6.738703,6.257034,5.442625,5.085734,7.461362,
,6.160958,8.482102,7.357649,2.832076,6.366619,3.943525,5.062195,7.244828,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.583333,8.000000,7.500000,8.000000,7.833333,7.166667,8.000000,
B SEM,0.000000,0.336162,0.000000,0.500000,0.000000,0.112367,0.613402,0.000000,
B Replicates,8.000000,8.000000,8.000000,2.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,1.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.963021,4.608507,4.212674,3.076389,3.810243,3.341270,3.780069,3.856771,
B SEM,0.649005,0.391594,0.563473,0.466993,0.599317,0.595678,0.658270,0.756340,
B Replicates,3.185417,6.445833,5.110417,0.233333,4.841667,5.054167,1.856667,7.966667,
,1.547917,3.760417,2.177083,3.033333,1.095833,2.126190,1.050000,1.493750,
,2.612500,5.133333,4.250000,1.885417,2.622917,0.410417,4.350000,1.927083,
,2.716667,3.177083,1.575000,5.664583,2.693750,0.469048,7.293750,0.906250,
,2.106250,6.464583,6.910417,4.020833,2.262500,1.593750,2.041667,4.637500,
,2.645833,2.537500,2.400000,3.327083,2.431250,2.614583,1.941667,2.922917,
,3.597917,3.829167,1.887500,3.306250,4.100000,4.772917,5.331250,3.568750,
,7.881250,4.597917,5.208333,4.933333,3.579167,2.239583,2.425000,2.114583,
,4.166667,6.443750,4.583333,4.345833,4.702083,5.997917,3.243750,8.568750,
,7.481250,4.462500,6.018750,3.220833,8.127083,6.418750,6.685417,3.660417,
,7.181250,5.172917,7.168750,2.295833,6.989583,3.589583,7.095833,6.850000,
,2.433333,3.277083,3.262500,0.650000,2.277083,4.808333,2.045833,1.664583,


    Number of Bursts
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,78.916667,84.500000,66.583333,57.166667,66.666667,63.666667,62.916667,60.416667,
B SEM,12.082706,10.252494,8.196875,8.405295,8.968238,13.187651,11.476233,12.453221,
B Replicates,56.000000,88.000000,90.000000,2.000000,86.000000,57.000000,38.000000,170.000000,
,42.000000,48.000000,25.000000,74.000000,17.000000,27.000000,0.000000,24.000000,
,76.000000,95.000000,86.000000,52.000000,59.000000,10.000000,80.000000,24.000000,
,62.000000,75.000000,37.000000,106.000000,74.000000,8.000000,112.000000,18.000000,
,55.000000,156.000000,100.000000,64.000000,35.000000,34.000000,32.000000,80.000000,
,44.000000,25.000000,43.000000,72.000000,64.000000,55.000000,32.000000,41.000000,
,75.000000,85.000000,34.000000,54.000000,54.000000,95.000000,84.000000,52.000000,
,165.000000,98.000000,93.000000,73.000000,54.000000,55.000000,37.000000,41.000000,
,95.000000,135.000000,61.000000,84.000000,83.000000,162.000000,56.000000,91.000000,
,157.000000,83.000000,104.000000,48.000000,129.000000,124.000000,121.000000,91.000000,
,80.000000,60.000000,78.000000,46.000000,105.000000,58.000000,120.000000,63.000000,
,40.000000,66.000000,48.000000,11.000000,40.000000,79.000000,43.000000,30.000000,


    Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.583333,8.000000,7.416667,7.916667,7.500000,7.000000,7.916667,
B SEM,0.000000,0.336162,0.000000,0.583333,0.083333,0.337100,0.685344,0.083333,
