Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate1  15 uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1523.000000,2724.916667,2218.833333,1644.500000,1953.083333,2046.333333,1948.250000,1734.250000,
B SEM,413.777425,493.435336,381.336621,262.371310,351.430377,392.753553,186.748053,365.843093,
B Replicates,2983.000000,1131.000000,4624.000000,1236.000000,2889.000000,4319.000000,1657.000000,1011.000000,
,2461.000000,2062.000000,4330.000000,3172.000000,3790.000000,4564.000000,2617.000000,1964.000000,
,1853.000000,3765.000000,2924.000000,2354.000000,1309.000000,699.000000,1859.000000,1931.000000,
,827.000000,405.000000,3114.000000,2692.000000,3165.000000,1016.000000,2434.000000,4590.000000,
,231.000000,3927.000000,1649.000000,111.000000,194.000000,1893.000000,3324.000000,994.000000,
,977.000000,1589.000000,1441.000000,1810.000000,791.000000,1390.000000,1510.000000,43.000000,
,2248.000000,1832.000000,1249.000000,1218.000000,3517.000000,1509.000000,1654.000000,3551.000000,
,4894.000000,5072.000000,2185.000000,1149.000000,1574.000000,983.000000,1692.000000,1305.000000,
,790.000000,3341.000000,920.000000,1086.000000,2087.000000,2628.000000,2050.000000,2131.000000,
,833.000000,5191.000000,1631.000000,2535.000000,1758.000000,2601.000000,1758.000000,1094.000000,
,2.000000,4012.000000,2276.000000,1757.000000,2153.000000,2663.000000,2108.000000,1659.000000,
,177.000000,372.000000,283.000000,614.000000,210.000000,291.000000,716.000000,538.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.172917,5.676910,4.622569,3.426042,4.068924,4.263194,4.058854,3.613021,
B SEM,0.862036,1.027990,0.794451,0.546607,0.732147,0.818237,0.389058,0.762173,
B Replicates,6.214583,2.356250,9.633333,2.575000,6.018750,8.997917,3.452083,2.106250,
,5.127083,4.295833,9.020833,6.608333,7.895833,9.508333,5.452083,4.091667,
,3.860417,7.843750,6.091667,4.904167,2.727083,1.456250,3.872917,4.022917,
,1.722917,0.843750,6.487500,5.608333,6.593750,2.116667,5.070833,9.562500,
,0.481250,8.181250,3.435417,0.231250,0.404167,3.943750,6.925000,2.070833,
,2.035417,3.310417,3.002083,3.770833,1.647917,2.895833,3.145833,0.089583,
,4.683333,3.816667,2.602083,2.537500,7.327083,3.143750,3.445833,7.397917,
,10.195833,10.566667,4.552083,2.393750,3.279167,2.047917,3.525000,2.718750,
,1.645833,6.960417,1.916667,2.262500,4.347917,5.475000,4.270833,4.439583,
,1.735417,10.814583,3.397917,5.281250,3.662500,5.418750,3.662500,2.279167,
,0.004167,8.358333,4.741667,3.660417,4.485417,5.547917,4.391667,3.456250,
,0.368750,0.775000,0.589583,1.279167,0.437500,0.606250,1.491667,1.120833,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.412444,6.907709,6.667769,4.659765,5.634546,5.505852,5.922709,6.466109,
B SEM,0.661542,0.748924,0.637897,0.491187,0.603067,0.502223,0.367231,0.717214,
B Replicates,6.483063,3.037299,5.651613,3.463385,5.403475,4.421702,7.216727,5.512903,
,5.066553,6.738616,9.147534,4.406174,7.759671,7.603036,6.492889,4.588086,
,5.594935,6.538580,9.490797,3.736587,7.197035,4.356050,5.145444,6.003645,
,6.651213,6.259363,6.589897,5.734506,6.577696,6.732538,5.071322,8.177318,
,1.526100,7.952217,5.268180,0.720136,2.855222,4.507867,5.109986,8.669154,
,4.981708,8.208755,5.855573,6.637878,3.980905,8.309443,6.160012,0.689983,
,5.032269,5.789364,5.368472,4.721038,8.728542,5.912246,6.170567,8.882067,
,8.541531,9.255147,6.896292,6.167898,4.588472,4.566641,6.188885,10.106097,
,7.001038,6.034264,9.128045,5.948691,5.232179,4.439819,5.355165,7.664739,
,7.087056,9.630379,8.171108,4.875912,6.228514,5.961737,4.239246,5.491198,
,NaN,11.234463,6.861794,6.318841,7.362667,7.090305,4.922645,5.913316,
,1.571416,2.214065,1.583918,3.186133,1.700170,2.168843,8.999617,5.894802,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.250000,8.000000,7.916667,7.333333,7.750000,8.000000,8.000000,7.416667,
B SEM,0.664295,0.000000,0.083333,0.497468,0.130558,0.000000,0.000000,0.583333,
B Replicates,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
